,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
278,AL,2017,TOTAL,KTOE,,,,,"727,691",,
279,AL,2017,W6210,KTOE,,,,"0,0",,"0,0",
280,AL,2018,R5110-5150_W6000RI,KTOE,,,,"158,71",,"0,0",
281,AL,2018,R5160,KTOE,,,,"1,767",,,
282,AL,2018,R5292,KTOE,,,,"0,0",,,
283,AL,2018,R5292P,KTOE,,,,,,"0,0",
284,AL,2018,R5292S,KTOE,,,,"0,0",,,
285,AL,2018,R5292SB,KTOE,,,,,,"0,0",
286,AL,2018,R5292SP,KTOE,,,,,,"0,0",
287,AL,2018,R5293S,KTOE,,,,"0,0",,,
288,AL,2018,R5293SB,KTOE,,,,,,"0,0",
289,AL,2018,R5293SP,KTOE,,,,,,"0,0",
290,AL,2018,R5300,KTOE,,,,"0,0",,"0,0",
291,AL,2018,R5300B,KTOE,,,,"0,0",,"0,0",
292,AL,2018,R5300B,PC,"0,0","0,0",,,,,
293,AL,2018,R5300B,TJ_GCV,,,"0,0",,,,
294,AL,2018,RA000,KTOE,,,,,"173,937",,
295,AL,2018,RA200,KTOE,,,,"0,0",,"0,0",
296,AL,2018,RA410,KTOE,,,,"13,46",,"0,0",
297,AL,2018,RA600,KTOE,,,,,,,"0,0"
298,AL,2018,TOTAL,KTOE,,,,,"765,818",,
299,AL,2018,W6210,KTOE,,,,"0,0",,"0,0",
300,AT,2004,R5110-5150_W6000RI,KTOE,,,,"2297,65",,"250,669",
301,AT,2004,R5160,KTOE,,,,"10,366",,,
302,AT,2004,R5292,KTOE,,,,"3,2230000000000003",,,
303,AT,2004,R5292P,KTOE,,,,,,"3,654",
304,AT,2004,R5292S,KTOE,,,,,,,
305,AT,2004,R5292SB,KTOE,,,,,,,
306,AT,2004,R5292SP,KTOE,,,,,,,
307,AT,2004,R5293S,KTOE,,,,,,,
308,AT,2004,R5293SB,KTOE,,,,,,,
309,AT,2004,R5293SP,KTOE,,,,,,,
310,AT,2004,R5300,KTOE,,,,"8,551",,"1,8630000000000002",
311,AT,2004,R5300B,KTOE,,,,"0,0",,"0,0",
312,AT,2004,R5300B,PC,"0,0","0,0",,,,,
313,AT,2004,R5300B,TJ_GCV,,,"0,0",,,,
314,AT,2004,RA000,KTOE,,,,,"2705,3109999999997",,
315,AT,2004,RA200,KTOE,,,,"5,732",,"10,079",
316,AT,2004,RA410,KTOE,,,,"85,053",,"0,0",
317,AT,2004,RA600,KTOE,,,,,,,"0,0"
318,AT,2004,TOTAL,KTOE,,,,,"13415,771",,
319,AT,2004,W6210,KTOE,,,,"0,0",,"28,47",
320,AT,2005,R5110-5150_W6000RI,KTOE,,,,"2654,562",,"263,837",
321,AT,2005,R5160,KTOE,,,,"8,539",,,
322,AT,2005,R5292,KTOE,,,,"9,131",,,
323,AT,2005,R5292P,KTOE,,,,,,"6,517",
324,AT,2005,R5292S,KTOE,,,,,,,
325,AT,2005,R5292SB,KTOE,,,,,,,
326,AT,2005,R5292SP,KTOE,,,,,,,
327,AT,2005,R5293S,KTOE,,,,,,,
328,AT,2005,R5293SB,KTOE,,,,,,,
329,AT,2005,R5293SP,KTOE,,,,,,,
330,AT,2005,R5300,KTOE,,,,"19,437",,"5,341",
331,AT,2005,R5300B,KTOE,,,,"0,0",,"0,0",
332,AT,2005,R5300B,PC,"0,0","0,0",,,,,
333,AT,2005,R5300B,TJ_GCV,,,"0,0",,,,
334,AT,2005,RA000,KTOE,,,,,"3177,902",,
335,AT,2005,RA200,KTOE,,,,"6,445",,"10,671",
336,AT,2005,RA410,KTOE,,,,"88,056",,"0,0",
337,AT,2005,RA600,KTOE,,,,,,,"77,673"
338,AT,2005,TOTAL,KTOE,,,,,"13900,476",,
339,AT,2005,W6210,KTOE,,,,"0,0",,"27,694000000000003",
340,AT,2006,R5110-5150_W6000RI,KTOE,,,,"2803,397",,"335,334",
341,AT,2006,R5160,KTOE,,,,"9,663",,,
342,AT,2006,R5292,KTOE,,,,"27,134",,,
343,AT,2006,R5292P,KTOE,,,,,,"9,677",
344,AT,2006,R5292S,KTOE,,,,,,,
345,AT,2006,R5292SB,KTOE,,,,,,,
346,AT,2006,R5292SP,KTOE,,,,,,,
347,AT,2006,R5293S,KTOE,,,,,,,
348,AT,2006,R5293SB,KTOE,,,,,,,
349,AT,2006,R5293SP,KTOE,,,,,,,
350,AT,2006,R5300,KTOE,,,,"14,575",,"7,921",
351,AT,2006,R5300B,KTOE,,,,"0,0",,"0,0",
352,AT,2006,R5300B,PC,"0,0","0,0",,,,,
353,AT,2006,R5300B,TJ_GCV,,,"0,0",,,,
354,AT,2006,RA000,KTOE,,,,,"3440,145",,
355,AT,2006,RA200,KTOE,,,,"6,277",,"13,238",
356,AT,2006,RA410,KTOE,,,,"96,916",,"0,0",
357,AT,2006,RA600,KTOE,,,,,,,"88,586"
358,AT,2006,TOTAL,KTOE,,,,,"14007,853000000001",,
359,AT,2006,W6210,KTOE,,,,"0,0",,"27,426",
360,AT,2007,R5110-5150_W6000RI,KTOE,,,,"2937,199",,"407,70300000000003",
361,AT,2007,R5160,KTOE,,,,"8,669",,,
362,AT,2007,R5292,KTOE,,,,"30,105999999999998",,,
363,AT,2007,R5292P,KTOE,,,,,,"11,517000000000001",
364,AT,2007,R5292S,KTOE,,,,,,,
365,AT,2007,R5292SB,KTOE,,,,,,,
366,AT,2007,R5292SP,KTOE,,,,,,,
367,AT,2007,R5293S,KTOE,,,,,,,
368,AT,2007,R5293SB,KTOE,,,,,,,
369,AT,2007,R5293SP,KTOE,,,,,,,
370,AT,2007,R5300,KTOE,,,,"17,74",,"8,495",
371,AT,2007,R5300B,KTOE,,,,"0,0",,"0,0",
372,AT,2007,R5300B,PC,"0,0","0,0",,,,,
373,AT,2007,R5300B,TJ_GCV,,,"0,0",,,,
374,AT,2007,RA000,KTOE,,,,,"3675,619",,
375,AT,2007,RA200,KTOE,,,,"5,656000000000001",,"12,065",
376,AT,2007,RA410,KTOE,,,,"102,52799999999999",,"0,0",
377,AT,2007,RA600,KTOE,,,,,,,"104,20299999999999"
378,AT,2007,TOTAL,KTOE,,,,,"13509,055",,
379,AT,2007,W6210,KTOE,,,,"0,0",,"29,739",
380,AT,2008,R5110-5150_W6000RI,KTOE,,,,"2906,921",,"530,559",
381,AT,2008,R5160,KTOE,,,,"9,84",,,
382,AT,2008,R5292,KTOE,,,,"30,913",,,
383,AT,2008,R5292P,KTOE,,,,,,"5,856",
384,AT,2008,R5292S,KTOE,,,,,,,
385,AT,2008,R5292SB,KTOE,,,,,,,
386,AT,2008,R5292SP,KTOE,,,,,,,
387,AT,2008,R5293S,KTOE,,,,,,,
388,AT,2008,R5293SB,KTOE,,,,,,,
389,AT,2008,R5293SP,KTOE,,,,,,,
390,AT,2008,R5300,KTOE,,,,"26,219",,"9,517000000000001",
391,AT,2008,R5300B,KTOE,,,,"0,0",,"0,0",
392,AT,2008,R5300B,PC,"0,0","0,0",,,,,
393,AT,2008,R5300B,TJ_GCV,,,"0,0",,,,
394,AT,2008,RA000,KTOE,,,,,"3808,0440000000003",,
