siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5160,FC_IND_OTH_E,KTOE,AT	10.834 	9.635 	10.896 	10.883 	8.631 	9.026 	9.485 	8.239 	8.863 	8.305 	9.840 	8.669 	9.663 	8.539 	10.366 
R5160,FC_IND_OTH_E,KTOE,BA	7.699 	11.198 	15.397 	14.092 	14.092 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,BE	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	6.298 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,BG	3.954 	3.521 	3.344 	2.006 	2.006 	2.675 	2.675 	1.338 	2.006 	4.013 	4.681 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,CY	10.209 	11.071 	10.569 	9.160 	8.455 	8.455 	8.455 	8.455 	7.751 	7.751 	9.563 	9.563 	7.356 	7.356 	5.885 
R5160,FC_IND_OTH_E,KTOE,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,DE	184.198 	178.084 	166.619 	188.019 	184.962 	188.784 	196.427 	184.198 	181.141 	168.148 	137.575 	145.218 	136.811 	137.575 	128.404 
R5160,FC_IND_OTH_E,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,EA19	392.450 	365.430 	353.726 	375.689 	368.161 	374.510 	396.081 	345.573 	339.473 	339.217 	281.831 	279.712 	224.912 	217.176 	210.672 
R5160,FC_IND_OTH_E,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,EL	56.960 	46.647 	46.647 	45.906 	42.204 	46.647 	45.166 	45.166 	42.204 	50.349 	50.349 	47.387 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,ES	26.483 	26.483 	26.483 	26.483 	26.483 	26.483 	26.483 	26.483 	26.483 	26.483 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,EU27_2020	404.887 	376.143 	362.420 	382.373 	374.176 	380.505 	400.756 	350.902 	345.894 	348.379 	286.512 	279.712 	224.912 	217.176 	210.672 
