siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,NMLPRD_PURE,GWH,ME	1734.803 	1708.499 	1755.603 	1749.347 	1766.570 	1766.417 	1734.548 	1753.953 	1840.582 	1778.351 	1761.386 	1779.888 	1815.389 	1819.824 	0.000 
E7000,NMLPRD_PURE,GWH,MK	1679.543 	1690.489 	1668.715 	1596.907 	1520.824 	1542.608 	1484.985 	1399.857 	1375.451 	1278.792 	1252.406 	1228.852 	1233.099 	1194.816 	1138.067 
E7000,NMLPRD_PURE,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_PURE,GWH,NL	94.319 	94.296 	97.579 	98.725 	102.041 	100.561 	100.406 	99.581 	101.114 	99.981 	100.114 	99.447 	100.314 	100.181 	99.981 
E7000,NMLPRD_PURE,GWH,NO	138897.826 	134549.160 	134510.707 	132720.835 	133832.675 	132743.139 	130323.894 	126305.151 	124269.439 	124161.812 	123286.899 	120847.645 	119082.792 	118189.261 	115473.708 
E7000,NMLPRD_PURE,GWH,PL	2095.147 	2088.842 	2105.828 	2103.534 	2115.800 	2101.161 	2093.111 	2088.941 	2066.349 	2013.180 	1981.686 	1935.706 	1912.729 	1870.763 	1819.844 
E7000,NMLPRD_PURE,GWH,PT	9692.260 	10080.981 	10276.331 	10314.241 	10391.161 	9971.454 	10205.861 	10989.441 	10260.387 	9828.287 	9987.855 	10190.705 	9935.954 	10002.388 	10558.054 
E7000,NMLPRD_PURE,GWH,RO	16663.041 	16405.136 	16689.352 	16477.135 	16126.495 	16109.029 	16948.740 	17209.959 	17315.426 	17109.430 	17015.786 	16709.812 	16385.931 	16254.618 	15721.210 
E7000,NMLPRD_PURE,GWH,RS	10132.809 	10017.401 	10625.011 	10571.116 	10570.833 	10242.594 	10417.073 	10390.021 	10463.112 	10253.838 	9542.690 	8905.090 	8274.200 	7584.180 	6823.475 
E7000,NMLPRD_PURE,GWH,SE	66380.740 	66144.930 	66144.742 	66668.366 	65428.316 	67862.575 	68505.803 	68509.348 	68282.930 	68325.708 	67202.213 	68720.474 	67943.607 	68420.924 	68521.884 
E7000,NMLPRD_PURE,GWH,SI	4529.342 	4463.473 	4271.258 	4289.589 	4377.840 	4324.841 	4159.575 	4197.336 	4321.858 	4312.109 	4145.380 	4116.357 	4169.130 	4124.792 	4127.886 
E7000,NMLPRD_PURE,GWH,SK	4311.638 	4294.450 	4364.747 	4401.689 	4439.960 	4443.989 	4389.838 	4380.520 	4383.092 	4294.812 	4457.209 	4395.322 	4385.181 	4380.888 	4379.627 
E7000,NMLPRD_PURE,GWH,TR	76655.490 	75220.049 	74684.509 	71610.467 	65715.037 	64287.335 	58428.482 	52194.288 	49292.946 	45635.451 	43945.573 	43549.439 	42900.563 	42214.177 	41661.380 
E7000,NMLPRD_PURE,GWH,UK	4973.315 	4809.906 	4632.826 	4369.948 	3845.709 	3493.811 	3222.754 	2920.401 	2564.320 	2373.984 	2072.433 	1674.243 	1391.549 	1134.745 	878.512 
E7000,NMLPRD_PURE,GWH,XK	235.906 	226.436 	217.373 	115.096 	110.425 	100.359 	90.806 	84.434 	75.658 	62.150 	54.150 	49.083 	42.817 	28.867 	21.400 
R5110-5150_W6000RI,GEP_RED,GWH,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GEP_RED,GWH,AT	3965.583 	3934.744 	3783.520 	3711.788 	3603.280 	3817.831 	3797.430 	3711.060 	3590.280 	3413.972 	3316.313 	3163.529 	2544.535 	1927.129 	1699.639 
R5110-5150_W6000RI,GEP_RED,GWH,BA	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GEP_RED,GWH,BE	3484.300 	3816.400 	3471.000 	3554.000 	2631.500 	3355.356 	3684.459 	3125.861 	2903.665 	2657.400 	2483.985 	1818.011 	1406.247 	960.000 	512.595 
R5110-5150_W6000RI,GEP_RED,GWH,BG	1280.035 	180.210 	162.793 	151.075 	138.755 	94.961 	65.251 	37.194 	19.739 	5.500 	15.532 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GEP_RED,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GEP_RED,GWH,CZ	2120.884 	2213.397 	2067.744 	2091.495 	1992.218 	1683.272 	1817.337 	1684.571 	1492.239 	1396.262 	1170.527 	968.062 	731.066 	560.252 	564.546 
R5110-5150_W6000RI,GEP_RED,GWH,DE	10827.000 	10644.000 	10798.000 	11034.000 	10798.000 	10555.000 	10693.000 	10516.000 	10351.000 	9746.000 	9296.000 	8699.000 	8820.000 	7479.000 	5161.000 
R5110-5150_W6000RI,GEP_RED,GWH,DK	4417.779 	4796.961 	3483.213 	2796.176 	2958.613 	3056.461 	3176.307 	3077.696 	3323.861 	1987.000 	1803.000 	1828.000 	1778.000 	1894.000 	1834.000 
